==27666== Memcheck, a memory error detector
==27666== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==27666== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==27666== Command: RunCollatz
==27666== 
            

==27666== 
==27666== HEAP SUMMARY:
==27666==     in use at exit: 463,600 bytes in 8,524 blocks
==27666==   total heap usage: 2,481,958 allocs, 2,473,434 frees, 99,400,960 bytes allocated
==27666== 
==27666== LEAK SUMMARY:
==27666==    definitely lost: 0 bytes in 0 blocks
==27666==    indirectly lost: 0 bytes in 0 blocks
==27666==      possibly lost: 0 bytes in 0 blocks
==27666==    still reachable: 463,600 bytes in 8,524 blocks
==27666==         suppressed: 0 bytes in 0 blocks
==27666== Rerun with --leak-check=full to see details of leaked memory
==27666== 
==27666== For counts of detected and suppressed errors, rerun with: -v
==27666== ERROR SUMMARY: 0 errors from 0 contexts (suppressed: 2 from 2)

1942 7752 262
6188 38590 324
152 26667 308
2030 7361 262
4459 28711 308
503 9856 262
400 23244 279
8964 38629 324
2331 8014 262
7320 36460 324
2462 13538 276
8224 14575 276
4562 29252 308
3873 37643 324
5049 18111 279
9832 3343 262
2214 26019 282
8284 38717 324
9037 10314 260
2429 3496 217
9024 42932 324
3351 45775 324
2527 18666 279
4403 34857 311
3032 8074 262
7668 21845 279
7964 32243 308
6419 8877 257
1494 10291 262
6519 2895 262
4754 36350 324
6237 36967 324
8721 14520 276
5684 14109 276
1185 38112 324
7604 46560 324
7395 47307 324
2335 29921 308
2324 43089 324
1130 41707 324
7515 35149 311
3551 5478 238
7392 49969 324
4354 28885 308
6612 27224 308
1779 37717 324
9926 4367 262
1035 24998 282
8887 16718 276
9106 26423 282
1182 23062 279
2983 34928 311
6720 31669 308
1201 19043 279
1109 28682 308
7102 8623 252
3830 40652 324
452 31221 308
6973 11157 268
106 49936 324
4733 41884 324
7652 34658 311
2603 28686 308
6007 31489 308
1756 15112 276
4263 49289 324
8173 13597 276
568 24892 282
5265 48120 324
287 36374 324
6801 37388 324
1348 40631 324
4391 41800 324
1851 17715 279
9308 31956 308
7650 24040 282
192 21653 279
5049 2794 238
6691 1055 262
634 44798 324
6167 41248 324
438 20691 279
4845 27357 308
1935 109 182
5477 38573 324
2834 2277 209
5960 14182 276
2907 36702 324
2333 31110 308
4417 41640 324
9417 38418 324
5680 35960 324
6423 40728 324
5105 9465 262
1783 22090 279
614 24301 282
3338 47403 324
1343 18182 279
4759 39629 324
4642 235 238
8201 3828 262
8864 20512 279
8009 28122 308
7214 40341 324
9231 27982 308
8332 5000 262
2751 14011 276
959 9173 262
1091 46064 324
4989 29225 308
8153 5602 262
9877 47842 324
9356 31219 308
